foods
خوراک جوجه کباب

خورشت
چلو خورشت قورمه سبزی
خورشت قورمه سبزی (بدون برنج)
چلو خورشت قیمه سیب زمینی
خورشت قیمه سیب زمینی (بدون برنج)
چلو خورشت قیمه بادمجان
خورشت قیمه بادمجان (بدون برنج)

نوشیدنی 
نوشابه خانواده کوکا کولا
نوشابه قوطی کوکا زیرو
ماءالشعیر قوطی هی دی سیب 
نوشابه قوطی نوشابه قوطی کوکا کولا
نوشابه قوطی نوشابه قوطی فانتا پرتقالی
نوشابه قوطی نوشابه قوطی اسپرایت
ماءالشعیر قوطی هی دی لیمو
ماءالشعیر قوطی هی دی هلو
ماءالشعیر قوطی هی دی استوایی
دوغ شیشه ای آبعلی
آب معدنی کوچک

پیش غذا 
سوپ جو
زیتون
زیتون پرورده
سالاد فصل
سالاد شیرازی
ماست و خیار
ماست موسیر
پر‌طرفدارها
کباب کوبیده (یک سیخ)
جگر پیچ پرده کبابی (یک سیخ)
کتف کبابی زعفرانی (یک سیخ)
تخفیف‌دارها
بال زعفرانی کباب شده یک کیلویی
کتف زعفرانی کباب شده یک کیلویی
بال تند فلفلی یک کیلویی
بال زعفرانی یک کیلویی
یک کیلو جوجه سینه زعفرانی
کتف زعفرانی یک کیلویی
صدف خام یک کیلویی
بال ترش یک کیلویی
بال ترش کباب شده یک کیلویی
کتف ترش کباب شده یک کیلویی
بال تند کباب شده یک کیلویی
کتف تند کباب شده یک کیلویی
جوجه سینه زعفرانی کباب شده یک کیلویی
چلو کباب کوبیده مخصوص (2 سیخ)
چلو کباب لقمه مخصوص عربی
کباب کوبیده پیچ (یک سیخ)
بال کبابی تند تند (یک سیخ)
بال کبابی ترش (یک سیخ)
بال کبابی زعفرانی (یک سیخ)
چلو جوجه درباری
کتف کبابی تند (یک سیخ)
کتف کبابی زعفرانی (یک سیخ)
جوجه کباب تند (یک سیخ)
بال کبابی مکزیکی (یک سیخ)
جوجه کباب سینه (یک سیخ)
کباب کوبیده (یک سیخ)
چلو جوجه کباب مخصوص
چلو کتف کبابی مخصوص
چلو کتف کبابی تند
چلو بال کبابی زعفرانی
چلو بال کبابی ترش
جوجه کباب ران (یک سیخ)
چلو بال کبابی تند
کباب کوبیده عربی (یک سیخ)
کباب لقمه مخصوص
چلو جگر کبابی
چلو دل و دنبه کبابی
چلو دل کبابی
چلو جگر دنبه کبابی
سیب زمینی ذغالی (یک سیخ)
خوش گوشت کبابی (یک سیخ)
دنبه کبابی (یک سیخ)
دل گوسفندی کبابی (یک سیخ)
خویک کبابی (یک سیخ)
جگر درشت کبابی (یک سیخ)
جگر پیچ پرده کبابی (یک سیخ)
جگر گوسفندی کبابی (یک سیخ)
قلوه گوسفندی کبابی (یک سیخ)
جگر و دنبه کبابی (یک سیخ)

غذای کیلویی
بال زعفرانی کباب شده یک کیلویی
کتف زعفرانی کباب شده یک کیلویی
بال ترش کباب شده یک کیلویی
کتف ترش کباب شده یک کیلویی
بال تند کباب شده یک کیلویی
کتف تند کباب شده یک کیلویی
جوجه سینه زعفرانی کباب شده یک کیلویی

چلو کباب
چلو کباب لقمه مخصوص عربی
چلو کباب کوبیده
چلو کباب کوبیده مخصوص (2 سیخ)
چلو جوجه درباری
چلو جوجه کباب مخصوص
چلو جوجه کباب ترش
چلو کتف کبابی مخصوص
چلو کتف کبابی ترش
چلو کتف کبابی تند
چلو بال کبابی زعفرانی
چلو بال کبابی ترش
چلو بال کبابی تند
چلو جگر کبابی
چلو جگر دنبه کبابی
چلو دل کبابی
چلو دل و دنبه کبابی
چلو ساده ایرانی
چلو ساده

خوراک
خوراک اکبر جوجه
خوراک کباب کوبیده مخصوص دو سیخ
خوراک  کباب وزیری
خوراک قارچ ساده کبابی
خوراک صدف کبابی
خوراک سوسیس جوریتسو
خوراک کباب یونانی(یک سیخ)
جگر گوسفندی خام 100 گرم
خوراک کتف ترش کبابی
خوراک کباب بوقلمون 
خوراک رول گوشت 300 گرمی
پیاز کبابی
مایه کوبیده یک کیلویی
کوکتل پنیری کبابی 
کوکتل دودی کبابی
کباب لقمه مخصوص
چلو اکبر جوجه مخصوص
چلو کباب مخصوص
چلو جوجه مخصوص
چلو کتف کبابی
چلو بال کبابی
چلو کباب وزیری
چلو چنجه
خوراک کراکف پنیری ذغالی
خوراک کاسه کباب اردبیل
کباب چنجه ترش (یک سیخ)
کباب چنجه تند (یک سیخ)
کباب رولت گوشت (یک سیخ)
چنجه گوسفندی کبابی (یک سیخ)
چنجه گوساله کبابی (یک سیخ)
کوهان گوساله کبابی (یک سیخ)
گوشت و دنبه کبابی (یک سیخ)
کباب کوبیده عربی (یک سیخ)
کباب کوبیده (یک سیخ)
جوجه کباب سینه (یک سیخ)
جوجه کباب ران (یک سیخ)
جوجه کباب ترش (یک سیخ)
جوجه کباب تند (یک سیخ)
کتف کبابی زعفرانی (یک سیخ)
کتف کبابی تند (یک سیخ)
بال کبابی مکزیکی (یک سیخ)
بال کبابی زعفرانی (یک سیخ)
بال کبابی ترش (یک سیخ)
بال کبابی تند تند (یک سیخ)
کباب کوبیده پیچ (یک سیخ)
گوجه کبابی (یک سیخ)
فلفل کبابی (یک سیخ)

ساندویچ
ساندویچ کباب کوبیده
ساندویچ جوجه کباب سینه
ساندویچ لقمه مخصوص
ساندویچ جوجه کباب ران
ساندویچ جگر دنبه
ساندویچ دل و دنبه
ساندویچ قلوه دنبه
سانویچ کوکتل دودی کبابی

غذای ایرانی
کشک بادمجون مخصوص
زرشک پلو با مرغ سرخ شده همراه سس
چلو اکبر جوجه مخصوص 
زرشک پلو با مرغ سرخ شده ارگانیک

دل و جگر
دل گوسفندی کبابی (یک سیخ)
قلوه گوسفندی کبابی (یک سیخ)
جگر گوسفندی کبابی (یک سیخ)
جگر و دنبه کبابی (یک سیخ)
جگر پیچ پرده کبابی (یک سیخ)
جگر درشت کبابی (یک سیخ)
خویک کبابی (یک سیخ)
خوش گوشت کبابی (یک سیخ)
دنبه کبابی (یک سیخ)
دل کامل گوسفندی
قلوه کامل گوسفندی
دل شکاری
قلوه شکاری
سیب زمینی ذغالی (یک سیخ)
پنیر کبابی (یک سیخ)
سوسیس شکاری (یک سیخ)
سوسیس شکاری تند (یک سیخ)

محصولات نیمه آماده
صدف خام یک کیلویی
کتف زعفرانی یک کیلویی
یک کیلو جوجه سینه زعفرانی
بال زعفرانی یک کیلویی
بال تند فلفلی یک کیلویی
بال ترش یک کیلویی
جوجه زعفرانی یک کیلویی خام مخلوط

صیفی جات
گوجه فرنگی خام
پیاز خام

سالاد و پیش غذا
آلبالو ترشی خانگی
خوراک  قارچ ترش کبابی
قارچ کبابی تند (یک سیخ)
قارچ کبابی ساده (یک سیخ)
قارچ کبابی مخصوص (یک سیخ)
ریحان تازه
نان لواش 
پک قاشق چنگال دستمال یک بار مصرف
ماست موسیر محلی فله ای
ماست چکیده محلی فله ای
ماست موسیر محلی
ماست چکیده محلی 
سالاد فصل
ماست و خیار خانگی
ماست موسیر خانگی
زیتون پرورده خانگی

اضافات
ریحون تازه و نارنج 
پک 7 عددی نان تافتون داغ
پک 5 عددی نان تاتون داغ
نان تافتون سنتی
نان لواش

نوشیدنی ارگانیک
آب آلبالو 100 در 100 طبیعی 
آب زرشک 100 در 100 طبیعی
آب ذغال لخته 100 در 100 طبیعی
آب برگه زردآلو 100 در 100 طبیعی
آب آلوبخارا 100در100 طبیعی
آب آلوچه 100 در100طبیعی
آب هلو 100 در 100طیبعی
آب تمبر هندی100 در100طبیعی
آب میکس هلو الوچه بخارا 
آب میکس الوچه البالو زرشک

نوشیدنی
دوغ سنتی کوزه ای 500 میلی لیتر
نوشابه خانواده کوکاکولا
نوشابه خانواده کوکاکولا زیرو
نوشابه قوطی کوکا زیرو
دوغ کوزه ای خانواده سنتی
دوغ کوزه ای خانواده
آب معدنی استوانه ای
آب معدنی کتابی
دلستر شیشه ای بهنوش قدیمی
دلستر شسشه ای تاک انگور
نوشابه شیشه ای ایراندا
نوشابه شیشه ای ایراندا زرد
دوغ سنتی ساده
دوغ سنتی نعنا پونه
آب ذغال اخته ارگانیک (500 میلی لیتر)
آب زرشک ارگانیک (500 میلی لیتر)
آب آلبالوی ارگانیک (500 میلی لیتر)
آب آلو بخارا ارگانیک (500 میلی لیتر)
آب آلوچه ارگانیک (500 میلی لیتر)
آب برگه زرد آلو ارگانیک (500 میلی لیتر)
لیموناد شیشه ای زمزم
نوشابه قوطی کوکا کولا
نوشابه قوطی فانتا پرتقالی
نوشابه قوطی اسپرایت
فانتا پرتقالی
نوشابه خانواده اسپرایت
ماءالشعیر قوطی دلستر موهیتو
ماءالشعیر قوطی دلستر لیمو
ماءالشعیر قوطی دلستر انگور قرمز
ماءالشعیر قوطی دلستر استوایی
ماءالشعیر قوطی دلستر هلو
دوغ لیوانی
دوغ شیشه ای آبعلی

پر‌طرفدارها
چلو جوجه کباب مخصوص
خوراک کباب لقمه مخصوص
چلو کباب لقمه مخصوص
چلو کباب لقمه ممتاز
خوراک جوجه کباب ممتاز

چلو کباب
چلو کباب لقمه مخصوص
چلو جوجه کباب مخصوص
چلو جوجه کباب ممتاز
چلو کباب لقمه ممتاز
چلو کباب ممتاز
چلو کباب سلطانی
چلو کباب برگ ممتاز
چلو کباب بختیاری مخصوص
چلو جوجه کباب لاری
چلو کباب نگین دار
چلو کره

خوراک
گوجه کبابی
خوراک کباب لقمه مخصوص
خوراک جوجه کباب مخصوص
خوراک جوجه کباب ممتاز
خوراک کباب لقمه ممتاز
خوراک کباب ممتاز
خوراک کباب سلطانی
خوراک کباب برگ ممتاز
خوراک کباب بختیاری مخصوص
خوراک جوجه کباب لاری
خوراک کباب نگین دار 
خوراک مرغ سرخ شده (ران)

غذای ایرانی
زرشک پلو با مرغ سرخ شده (ران)

خورشت
چلو خورشت قورمه سبزی
خورشت قورمه سبزی (اضافه)
چلو خورشت قیمه سیب زمینی
خورشت قیمه سیب زمینی (اضافه)
چلو خورشت قیمه بادمجان
خورشت قیمه بادمجان (اضافه)

پیش غذا و سالاد
پک قاشق و چنگال
ماست موسیر
زیتون پرورده

نوشیدنی
دوغ سنتی گلپایگان
دوغ بطری سنتی
دوغ خانواده گوارا گازدار
نوشابه قوطی کوکا کولا
نوشابه قوطی فانتا پرتقالی
نوشابه قوطی اسپرایت
نوشابه خانواده پپسی
نوشابه خانواده میراندا پرتقالی
نوشابه خانواده سون آپ
ماءالشعیر قوطی ایستک لیمو
ماءالشعیر خانواده ایستک لیمو

پر‌طرفدارها
چلو جوجه کباب معمولی (170 گرمی)
چلو جوجه کباب مخصوص (200 گرمی)
چلو کباب کوبیده یک سیخ (140 گرمی)
چلو کباب کوبیده دو سیخ (280 گرمی)
خوراک جوجه کباب مخصوص (200 گرمی)
خوراک جوجه کباب معمولی (170 گرمی)
خوراک کباب کوبیده یک سیخ (140 گرمی)
خوراک کباب کوبیده دو سیخ (280 گرمی)
چلو کباب وزیری
عدس پلو با گوشت
دیزی مخصوص
چلو کباب بناب
چلو کباب لقمه

چلو کباب
چلو کباب نگین دار
سینی مخصوص
چلو کباب سلطانی
چلو کباب برگ
چلو کباب بختیاری
چلو کباب وزیری
چلو کباب بناب
چلو کباب میکس ویژه
چلو کباب نگین دار کوبیده نگین دار
چلو کباب لقمه
چلو کباب کوبیده یک سیخ (140 گرمی)
چلو کباب کوبیده دو سیخ (280 گرمی)
چلو جوجه کباب مخصوص (200 گرمی)
چلو جوجه کباب معمولی (170 گرمی)
چلو جوجه کباب ترش
چلو کره

خوراک
خوراک کباب لقمه نگین دار
خوراک کباب سلطانی
خوراک کباب برگ
خوراک کباب بختیاری
خوراک کباب وزیری
خوراک کباب بناب
خوراک کباب میکس ویژه
خوراک کباب نگین دار
خوراک کباب لقمه
خوراک کباب کوبیده یک سیخ (140 گرمی)
خوراک کباب کوبیده دو سیخ (280 گرمی)
خوراک جوجه کباب مخصوص (200 گرمی)
خوراک جوجه کباب معمولی (170 گرمی)
خوراک جوجه کباب ترش
خوراک اکبر جوجه
بال کبابی زعفرانی
خوراک مرغ

غذای ایرانی
ماکارانی 
لوبیا پلو
باقالی پلو با مرغ
آلبالو پلو با مرغ
شیرین پلو با مرغ
زرشک پلو با مرغ
قیمه نثار مخصوص قزوین
چلو اکبر جوجه
عدس پلو با گوشت
شیرین پلو (اضافه)
باقالی پلو (اضافه)
آلبالو پلو (اضافه)

خورشت
چلو خورشت قورمه سبزی
چلو خورشت قیمه سیب زمینی
چلو خورشت قیمه بادمجان
خورشت قورمه سبزی (اضافه)
خورشت قیمه سیب زمینی (اضافه)
خورشت قیمه بادمجان (اضافه)

دیزی
دیزی مخصوص
دیزی اسپرت (تند)
دیزی کلاسیک (رژیمی)

پیش غذا و سالاد
ترشی لوبیا سبز
ماست دلال
ترشی بامیه
زیتون سبز بی هسته
سالاد فصل
سالاد شیرازی
ماست خیار ویژه
ماست و خیار
ترشی
سیر ترشی
زیتون پرورده ویژه
زیتون پرورده شرکتی
ماست چکیده سنتی کوزه ای
ماست موسیر چکیده
ماست موسیر
ترشی فلفل مکزیکی
ترشی فلفل همدانی
ترشی تبریزی
ترشی لیته بادمجان
ترشی هندی

نوشیدنی
نوشابه بطری کوچک
نوشابه قوطی
نوشابه خانواده
ماءالشعیر قوطی
ماءالشعیر خانواده
دوغ لیوانی گلپایگانی
دوغ خانواده گلپایگانی
آب معدنی کوچک بطری
آب معدنی بزرگ

پر‌طرفدارها
چلو جوجه کباب معمولی (۱۷۰ گرمی)
چلو جوجه کباب مخصوص (۲۰۰ گرمی)
خوراک جوجه کباب مخصوص (200 گرمی)
خوراک جوجه کباب معمولی (170 گرمی)
خوراک کباب کوبیده دو سیخ (280 گرمی)
عدس پلو با گوشت
چلو کباب کوبیده دو سیخ (۲۸۰ گرمی)
لوبیا پلو با گوشت
قیمه نثار مخصوص قزوین
چلو خورشت قورمه سبزی
ماکارانی با گوشت
زرشک پلو با مرغ
چلو کباب وزیری
چلو خورشت قیمه سیب زمینی

چلو کباب
کوزه کباب
چلو پاتلیجان کباب
سینی مخصوص آفاق
چلو کباب سلطانی
چلو کباب برگ
چلو کباب بختیاری
چلو کباب وزیری
چلو کباب بناب
چلو کباب میکس ویژه
چلو کباب نگین دار
چلو کباب لقمه
چلو کباب کوبیده یک سیخ (۱۴۰ گرمی)
چلو کباب کوبیده دو سیخ (۲۸۰ گرمی)
چلو جوجه کباب فسنجانی
چلو جوجه کباب ناردون
چلو جوجه کباب ترش
چلو جوجه کباب معمولی (۱۷۰ گرمی)
چلو جوجه کباب مخصوص (۲۰۰ گرمی)
چلو دیگی
چلو کره

خوراک
خوراک جوجه فسنجانی
خوراک جوجه کباب ناردون
خوراک کوزه کباب
خوراک پاتلیجان کباب
خوراک کباب سلطانی
خوراک کباب برگ
خوراک کباب بختیاری
خوراک کباب وزیری
خوراک کباب بناب
خوراک کباب میکس ویژه
خوراک کباب نگین دار
خوراک کباب لقمه
خوراک کباب کوبیده یک سیخ (140 گرمی)
خوراک کباب کوبیده دو سیخ (280 گرمی)
خوراک جوجه کباب ترش
خوراک جوجه کباب مخصوص (200 گرمی)
خوراک جوجه کباب معمولی (170 گرمی)
خوراک اکبر جوجه
بال کبابی زعفرانی
خوراک مرغ

غذای ایرانی
ماکارانی با گوشت
لوبیا پلو با گوشت
باقالی پلو با مرغ
آلبالو پلو با مرغ
شیرین پلو با مرغ
زرشک پلو با مرغ
چلو اکبر جوجه
عدس پلو با گوشت
شیرین پلو (اضافه)
باقالی پلو (اضافه)
آلبالو پلو (اضافه)

غذای سنتی
دیزی سنگی
قیمه نثار مخصوص قزوین

خورشت
چلو خورشت فسنجان
خورشت فسنجان (اضافه)
چلو خورشت قورمه سبزی
خورشت قورمه سبزی (اضافه)
چلو خورشت قیمه سیب زمینی
خورشت قیمه سیب زمینی (اضافه)
چلو خورشت قیمه بادمجان
خورشت قیمه بادمجان (اضافه)

سالاد و پیش غذا
ترشی لوبیا سبز
ماست دلال
ترشی بامیه
زیتون سبز بی هسته
سالاد فصل
سالاد شیرازی
ماست موسیر
ماست موسیر چکیده
ماست چکیده سنتی کوزه ای
ماست و خیار ویژه آفاق
ماست و خیار 
ترشی
سیر ترشی
زیتون پرورده ویژه
زیتون پرورده شرکتی
گوجه کبابی (یک سیخ)
ترشی فلفل مکزیکی
ترشی فلفل همدانی
ترشی تبریزی
ترشی لیته بادمجان
ترشی هندی

نوشیدنی
نوشابه قوطی مشکی
نوشابه قوطی پرتقالی
نوشابه قوطی اسپرایت
نوشابه بطری مشکی
نوشابه بطری پرتقالی
نوشابه بطری اسپرایت
نوشابه خانواده مشکی
نوشابه خانواده پرتقالی
نوشابه خانواده اسپرایت
ماءالشعیر قوطی لیمو
ماءالشعیر قوطی استوایی
ماءالشعیر خانواده لیمو
ماءالشعیر خانواده استوایی
دوغ لیوانی گلپایگانی
دوغ خانواده گلپایگانی
آب معدنی کوچک
آب معدنی بزرگ

پر‌طرفدارها
پاچه (یک عدد)
سیرابی (یک دست کامل)
بنا گوشت (یک پرس)

کله پاچه
سینی مخصوص دو نفره قُچ مٌن
سیرابی با مغز (یک پرس )
سینی تک نفره
کله کامل بدون پاچه
سیراب گلاسه
معجون مخصوص سرآشپز
گوشت لخم (بدون چربی)
کله پاچه اقتصادی ( مخصوص یک نفر )
کله پاچه اقتصادی ( مخصوص دو نفر )
کله پاچه (یک دست کامل)
زبان با گوشت (یک پرس)
زبان (یک عدد)
صورت با بناگوش (یک پرس)
بنا گوشت (یک پرس)
گوشت (یک پرس)
مغز (یک عدد)
پاچه (یک عدد)
چشم (یک جفت)
معجون (یک پرس)
سیرابی (یک دست کامل)
سیرابی (یک پرس)
آبگوشت با مغز (یک پرس)
آبگوشت ساده (یک پرس)

اضافات
نارنج اضافه
نان سنگک
لیمو

پیش غذا
سیر ترشی
پیاز ترشی
ترشی فصل
ترشی بندری
ترشی مخلوط
فلفل تازه همدانی

نوشیدنی
نوشابه شیشه ای کوکاکولا
نوشابه شیشه ای فانتا
نوشابه شیشه ای اسپرایت
نوشابه خانواده کوکاکولا
نوشابه خانواده فانتا
نوشابه خانواده اسپرایت
لیموناد شیشه ای کوکاکولا
آب معدنی کوچک

پیش غذا
زیتون شرکتی
زیتون پرورده محلی

روغن
روغن کرمانشاهی تمام گوسفندی اعلا
روغن کرمانشاهی گاوی و گوسفندی مخلوط اعلا

نوشیدنی
نوشابه بطری کوکا کولا
نوشابه بطری فانتا پرتقالی
نوشابه بطری اسپرایت
نوشابه قوطی کوکا کولا
نوشابه قوطی فانتا پرتقالی
نوشابه قوطی اسپرایت
نوشابه خانواده کوکا کولا
نوشابه خانواده فانتا پرتقالی
نوشابه خانواده اسپرایت
ماءالشعیر قوطی دلستر استوایی 
ماءالشعیر قوطی دلستر لیمو
ماءالشعیر قوطی جوجو استوایی 
ماءالشعیر قوطی جوجو لیمو
دلستر خانواده لیمو
دلستر خانواده استوایی 
ماءالشعیر خانواده جوجو لیمو
ماءالشعیر خانواده جوجو استوایی 
لیموناد شیشه ای
لیموناد بزرگ
دوغ شیشه ای آبعلی
دوغ خانواده خوشگوار
دوغ بطری 
دوغ محلی خانواده
دوغ محلی بطری

پر‌طرفدارها
چلو اکبر جوجه مخصوص
خوراک بال کبابی
خوراک کتف کبابی

تخفیف‌دارها
ماست و خیار خانگی
نان لواش
ماست موسیر مخصوص
ریحان تازه
نان لواش یک عدد
چلو بال کبابی
خوراک کباب کوبیده
چلو کباب لقمه مخصوص نیم متری
چلو کباب کوبیده مخصوص
چلو جوجه کباب ران
خوراک اکبر جوجه
خوراک کتف کبابی
خوراک بال کبابی
خوراک کباب لقمه عربی
خوراک جوجه کباب ران
خوراک جوجه کباب سینه مخصوص
خوراک کباب کوبیده مخصوص
چلو کتف کبابی
خوراک کباب لقمه مخصوص نیم متری
خوراک کوبیده پیچ
چلو کباب لقمه عربی
خوراک کوکتل دودی کبابی
خوراک کباب لقمه مخصوص
خوراک کباب یونانی تک سیخ
خوراک کتف کبابی تند
خوراک کتف کبابی ترش
خوراک بال کبابی ترش
خوراک بال کبابی تند
چلو کباب وزیری

نان
نان تافتون داغ

آش
آش شله قلمکار مخصوص اکبر جوجه

چلو کباب
چلوکباب معمولی
چلو کباب وزیری
زرشک پلو با ران مرغ ارگانیک سرخ شده
چلو کباب چنجه ترش
چلو کباب چنجه گوسفندی
چلو کباب برگ گوسفندی
چلو کباب لقمه عربی
چلو کباب لقمه مخصوص نیم متری
چلو کباب کوبیده مخصوص
چلو جوجه کباب سینه مخصوص
چلو جوجه کباب ران
چلو بال کبابی
چلو کتف کبابی
چلو ساده

خوراک
آش رشته خانگی  یک کیلو
آش دوغ محلی اردبیل یک کیلویی
قارچ کبابی
خوراک بال کبابی تند
خوراک بال کبابی ترش
خوراک کتف کبابی ترش
خوراک کتف کبابی تند
خوراک جوجه کباب ترش
خوراک کباب یونانی تک سیخ
خوراک سوسیس جوریتسو کبابی
پیاز کبابی 
خوراک کباب لقمه مخصوص
خوراک کوکتل دودی کبابی
نان لواش یک عدد
نان تافتون داغ تنوری
خوراک صدف کبابی
خوراک کوبیده پیچ
خوراک کباب چنجه ترش
خوراک کباب چنجه گوسفندی
خوراک کباب برگ گوسفندی
خوراک کباب لقمه مخصوص نیم متری
خوراک کباب کوبیده مخصوص
خوراک کباب کوبیده
خوراک جوجه کباب سینه مخصوص
خوراک جوجه کباب ران
خوراک کباب لقمه عربی
خوراک بال کبابی
خوراک کتف کبابی
خوراک اکبر جوجه

غذای ایرانی
چلو جوجه کباب ترش
چلو اکبر جوجه مخصوص
زرشک پلو با مرغ سرخ شده همراه سس

سالاد و پیش غذا
نان لواش
پک قاشق و چنگال و دستمال یک بار مصرف
ریحان تازه
سالاد فصل
ماست موسیر مخصوص
ماست و خیار خانگی
زیتون پرورده

نوشیدنی
نوشابه قوطی کوکاکولا
نوشابه قوطی فانتا
دوغ کوزه ای تک نفره
دوغ کوزه ای خانواده
دوغ لیوانی
موهیتو قوطی
آب معدنی لوکس استوانه ای
آب معدنی کتابی
نوشابه خانواده کوکا کولا
نوشابه خانواده فانتا
نوشابه خانواده اسپرایت
ماءالشعیر قوطی دلستر لیمو
ماءالشعیر قوطی دلستر هلو
ماءالشعیر قوطی دلستر استوایی
دوغ شیشه ای آبعلی گازدار

تخفیف‌دارها
چلوکباب تابه ای با پلو ته دیگی
چلو ساده
چلو خورشت قیمه بادمجان
خورشت قیمه سیب زمینی (بدون برنج)
چلو خورشت قیمه سیب زمینی
خورشت قورمه سبزی (بدون برنج)
چلو خورشت قورمه سبزی
خوراک جوجه کباب
خوراک کباب لقمه
خوراک کباب گمجی
خوراک کباب قفقازی
خوراک کاسه کباب
چلو جوجه کباب با پلو ته دیگی
چلو قیمه نثار
چلو کباب لقمه با پلو ته دیگی
چلو کباب گمجی با پلو ته دیگی
چلوکباب قفقازی با پلو ته دیگی
کاسه کباب لاپلو ته دیگی
سینی مخصوص
خوراک چنجه
چنجه با پلو ته دیگی
خوراک وزیری
چلو کباب وزیری
زرشک پلو با مرغ سس پز
باقالی پلو
خورشت قیمه بادمجان (بدون برنج)

منوی ویژه ماه مبارک رمضان
شله زرد
سینی افطار مخصوص 
اش رشته
حلیم

ابمیوه طبیعی
اب زرشک
اب پرتقال 
اب انار طبیعی

صبحانه
نیمرو
املت

غذای ایرانی
چلوکباب تابه ای با پلو ته دیگی
چلو قیمه نثار
باقالی پلو
زرشک پلو با مرغ سس پز

چلو کباب
چلو کباب وزیری
خوراک وزیری
چنجه با پلو ته دیگی
خوراک چنجه
سینی مخصوص
کاسه کباب لاپلو ته دیگی
چلوکباب قفقازی با پلو ته دیگی
چلو کباب گمجی با پلو ته دیگی
چلو کباب لقمه با پلو ته دیگی
چلو جوجه کباب با پلو ته دیگی
چلو ساده

خوراک
خوراک کاسه کباب
خوراک کباب قفقازی
خوراک کباب گمجی
خوراک کباب لقمه
خوراک جوجه کباب

خورشت
چلو خورشت قورمه سبزی
خورشت قورمه سبزی (بدون برنج)
چلو خورشت قیمه سیب زمینی
خورشت قیمه سیب زمینی (بدون برنج)
چلو خورشت قیمه بادمجان
خورشت قیمه بادمجان (بدون برنج)

نوشیدنی 
نوشابه خانواده کوکا کولا
نوشابه قوطی کوکا زیرو
ماءالشعیر قوطی هی دی سیب 
نوشابه قوطی نوشابه قوطی کوکا کولا
نوشابه قوطی نوشابه قوطی فانتا پرتقالی
نوشابه قوطی نوشابه قوطی اسپرایت
ماءالشعیر قوطی هی دی لیمو
ماءالشعیر قوطی هی دی هلو
ماءالشعیر قوطی هی دی استوایی
دوغ شیشه ای آبعلی
آب معدنی کوچک

پیش غذا 
سوپ جو
زیتون
زیتون پرورده
سالاد فصل
سالاد شیرازی
ماست و خیار
ماست موسیر

پر‌طرفدارها
خوراک جوجه کباب (سینه)
خوراک کباب کوبیده
چلو کباب کوبیده مخصوص

تخفیف‌دارها
خوراک جوجه کبابی یک کیلویی (سینه)
خوراک جوجه کبابی یک کیلویی (ران)
کتف کبابی یک کیلویی
بال کباب شده یک کیلویی
کشک بادمجان مخصوصی
خوراک بال کبابی یک کیلویی
خوراک کتف کبابی یک کیلویی
خوراک کباب کوبیده
خوراک کباب لقمه مخصوص
خوراک جوجه کباب (سینه)
خوراک جوجه کباب (ران)
خوراک کتف کبابی
خوراک بال کبابی

غذای ایرانی
زرشک پلو با مرغ سرخ شده همراه سس
